,File Path,Label,Frame Count,Width,Height,Codec,File Size(MB)
0,DeepFakeDetection/01_02__meeting_serious__YVGY8LOK.mp4,FAKE,1044,1920,1080,h264,6.43
1,DeepFakeDetection/01_02__outside_talking_still_laughing__YVGY8LOK.mp4,FAKE,727,1920,1080,h264,5.05
2,DeepFakeDetection/01_02__talking_against_wall__YVGY8LOK.mp4,FAKE,841,1920,1080,h264,3.31
3,DeepFakeDetection/01_02__walk_down_hall_angry__YVGY8LOK.mp4,FAKE,217,1920,1080,h264,1.11
4,DeepFakeDetection/01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,FAKE,773,1920,1080,h264,12.05
5,DeepFakeDetection/01_03__hugging_happy__ISF9SP4G.mp4,FAKE,605,1920,1080,h264,8.7
6,DeepFakeDetection/01_03__kitchen_pan__JZUXXFRB.mp4,FAKE,455,1920,1080,h264,3.32
7,DeepFakeDetection/01_03__podium_speech_happy__480LQD1C.mp4,FAKE,898,1920,1080,h264,4.82
8,DeepFakeDetection/01_03__talking_against_wall__JZUXXFRB.mp4,FAKE,843,1920,1080,h264,3.33
9,DeepFakeDetection/01_04__hugging_happy__GBC7ZGDP.mp4,FAKE,538,1920,1080,h264,7.86
10,DeepFakeDetection/01_04__meeting_serious__0XUW13RW.mp4,FAKE,1045,1920,1080,h264,6.26
11,DeepFakeDetection/01_04__talking_angry_couch__0XUW13RW.mp4,FAKE,1465,1920,1080,h264,10.98
12,DeepFakeDetection/01_04__walk_down_hall_angry__GBC7ZGDP.mp4,FAKE,224,1920,1080,h264,1.16
13,DeepFakeDetection/01_09__talking_angry_couch__P70H1JB0.mp4,FAKE,1463,1920,1080,h264,11.13
14,DeepFakeDetection/01_11__hugging_happy__4OJNJLOO.mp4,FAKE,579,1920,1080,h264,8.44
15,DeepFakeDetection/01_11__meeting_serious__9OM3VE0Y.mp4,FAKE,1045,1920,1080,h264,6.28
16,DeepFakeDetection/01_11__meeting_serious__FCNL2OVP.mp4,FAKE,1045,1920,1080,h264,6.27
17,DeepFakeDetection/01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,FAKE,506,1920,1080,h264,4.82
18,DeepFakeDetection/01_11__secret_conversation__4OJNJLOO.mp4,FAKE,901,1920,1080,h264,4.66
19,DeepFakeDetection/01_11__talking_against_wall__4OJNJLOO.mp4,FAKE,839,1920,1080,h264,3.39
20,DeepFakeDetection/01_11__talking_against_wall__9229VVZ3.mp4,FAKE,843,1920,1080,h264,3.35
21,DeepFakeDetection/01_11__talking_against_wall__UQ0BOBNO.mp4,FAKE,842,1920,1080,h264,3.31
22,DeepFakeDetection/01_11__walking_outside_cafe_disgusted__FAFWDR4W.mp4,FAKE,240,1920,1080,h264,2.13
23,DeepFakeDetection/01_12__outside_talking_pan_laughing__TNI7KUZ6.mp4,FAKE,292,1920,1080,h264,2.92
24,DeepFakeDetection/01_12__outside_talking_still_laughing__TNI7KUZ6.mp4,FAKE,361,1920,1080,h264,2.95
25,DeepFakeDetection/01_15__exit_phone_room__02HILKYO.mp4,FAKE,208,1920,1080,h264,1.07
26,DeepFakeDetection/01_15__kitchen_still__02HILKYO.mp4,FAKE,551,1920,1080,h264,4.09
27,DeepFakeDetection/01_15__meeting_serious__02HILKYO.mp4,FAKE,1045,1920,1080,h264,6.28
28,DeepFakeDetection/01_15__outside_talking_pan_laughing__02HILKYO.mp4,FAKE,510,1920,1080,h264,4.82
29,DeepFakeDetection/01_20__hugging_happy__FW94AIMJ.mp4,FAKE,540,1920,1080,h264,7.92
30,DeepFakeDetection/01_20__kitchen_pan__6UBMLXK3.mp4,FAKE,471,1920,1080,h264,3.43
31,DeepFakeDetection/01_20__outside_talking_pan_laughing__OTGHOG4Z.mp4,FAKE,504,1920,1080,h264,4.79
32,DeepFakeDetection/01_20__outside_talking_still_laughing__FW94AIMJ.mp4,FAKE,727,1920,1080,h264,5.09
33,DeepFakeDetection/01_20__walk_down_hall_angry__FW94AIMJ.mp4,FAKE,225,1920,1080,h264,1.16
34,DeepFakeDetection/01_21__talking_angry_couch__03X7CELV.mp4,FAKE,1466,1920,1080,h264,11.08
35,DeepFakeDetection/01_21__walk_down_hall_angry__03X7CELV.mp4,FAKE,225,1920,1080,h264,1.16
36,DeepFakeDetection/01_26__outside_talking_pan_laughing__ZMEJ535O.mp4,FAKE,472,1920,1080,h264,4.43
37,DeepFakeDetection/01_27__hugging_happy__ZYCZ30C0.mp4,FAKE,596,1920,1080,h264,8.61
38,DeepFakeDetection/01_27__meeting_serious__ZYCZ30C0.mp4,FAKE,1045,1920,1080,h264,6.27
39,DeepFakeDetection/01_27__outside_talking_pan_laughing__S2YCUY48.mp4,FAKE,511,1920,1080,h264,4.83
40,DeepFakeDetection/01_27__outside_talking_still_laughing__ZYCZ30C0.mp4,FAKE,737,1920,1080,h264,5.11
41,DeepFakeDetection/01_27__walking_outside_cafe_disgusted__ZYCZ30C0.mp4,FAKE,225,1920,1080,h264,2.04
42,DeepFakeDetection/02_01__outside_talking_still_laughing__YVGY8LOK.mp4,FAKE,810,1920,1080,h264,6.14
43,DeepFakeDetection/02_01__secret_conversation__YVGY8LOK.mp4,FAKE,641,1920,1080,h264,5.47
44,DeepFakeDetection/02_01__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,FAKE,821,1920,1080,h264,12.77
45,DeepFakeDetection/02_01__walking_outside_cafe_disgusted__YVGY8LOK.mp4,FAKE,499,1920,1080,h264,2.73
46,DeepFakeDetection/02_03__walking_down_street_outside_angry__QH3Y0IG0.mp4,FAKE,458,1920,1080,h264,3.03
47,DeepFakeDetection/02_03__walking_outside_cafe_disgusted__QH3Y0IG0.mp4,FAKE,499,1920,1080,h264,2.72
