,File Path,Label,Frame Count,Width,Height,Codec,File Size(MB)
0,original/500.mp4,REAL,292,1920,1080,h264,2.66
1,Face2Face/944_032.mp4,FAKE,310,704,480,h264,0.46
2,Face2Face/024_073.mp4,FAKE,703,640,480,h264,1.14
3,DeepFakeDetection/06_18__walking_down_street_outside_angry__MVXBDKGB.mp4,FAKE,549,1920,1080,h264,4.03
4,FaceSwap/350_349.mp4,FAKE,405,854,480,h264,1.09
5,FaceShifter/424_408.mp4,FAKE,311,640,480,h264,0.55
6,original/748.mp4,REAL,318,1280,720,h264,1.65
7,original/215.mp4,REAL,588,720,480,h264,1.02
8,original/362.mp4,REAL,455,1280,720,h264,1.84
9,NeuralTextures/589_565.mp4,FAKE,430,640,480,h264,0.9
10,DeepFakeDetection/03_07__talking_against_wall__PWXXULHR.mp4,FAKE,910,1920,1080,h264,4.93
11,original/406.mp4,REAL,512,600,480,h264,1.43
12,FaceSwap/279_298.mp4,FAKE,569,640,480,h264,1.59
13,Face2Face/398_457.mp4,FAKE,528,640,480,h264,1.13
14,NeuralTextures/712_716.mp4,FAKE,550,1280,720,h264,1.92
15,FaceShifter/254_261.mp4,FAKE,427,1280,720,h264,1.3
16,original/026.mp4,REAL,322,640,480,h264,0.5
17,Face2Face/264_271.mp4,FAKE,490,832,480,h264,0.66
18,Deepfakes/941_940.mp4,FAKE,494,854,480,h264,0.87
19,DeepFakeDetection/20_25__exit_phone_room__M86GQTHK.mp4,FAKE,574,1920,1080,h264,2.69
20,FaceShifter/176_190.mp4,FAKE,376,1920,1080,h264,4.57
21,FaceShifter/045_889.mp4,FAKE,350,1920,1080,h264,4.74
22,FaceShifter/064_991.mp4,FAKE,402,640,480,h264,0.86
23,DeepFakeDetection/02_15__walk_down_hall_angry__TN2CWM3K.mp4,FAKE,208,1920,1080,h264,1.41
24,original/237.mp4,REAL,757,1280,720,h264,3.13
25,Deepfakes/371_367.mp4,FAKE,718,600,480,h264,1.5
26,DeepFakeDetection/16_05__walking_outside_cafe_disgusted__053HPS1G.mp4,FAKE,1168,1920,1080,h264,7.94
27,FaceShifter/916_783.mp4,FAKE,484,1280,720,h264,2.26
28,Deepfakes/075_977.mp4,FAKE,613,1280,720,h264,3.15
29,FaceShifter/256_146.mp4,FAKE,546,1280,720,h264,2.41
30,Face2Face/316_369.mp4,FAKE,320,640,480,h264,0.38
31,DeepFakeDetection/14_21__walking_down_street_outside_angry__N0WM4GSV.mp4,FAKE,1273,1920,1080,h264,11.54
32,NeuralTextures/444_655.mp4,FAKE,437,832,480,h264,0.8
33,NeuralTextures/103_082.mp4,FAKE,316,640,480,h264,0.86
34,FaceShifter/007_132.mp4,FAKE,505,600,480,h264,1.01
35,Deepfakes/115_939.mp4,FAKE,320,1280,720,h264,1.32
36,FaceShifter/908_207.mp4,FAKE,667,1920,1080,h264,5.48
37,Face2Face/153_150.mp4,FAKE,456,640,480,h264,1.26
38,original/223.mp4,REAL,336,1920,1080,h264,1.75
39,NeuralTextures/291_874.mp4,FAKE,330,1920,1080,h264,2.26
40,FaceShifter/509_525.mp4,FAKE,563,640,480,h264,1.71
41,Deepfakes/287_426.mp4,FAKE,475,1280,720,h264,3.11
42,DeepFakeDetection/06_14__outside_talking_pan_laughing__8U9ULZDT.mp4,FAKE,621,1920,1080,h264,4.67
43,Deepfakes/795_907.mp4,FAKE,550,1280,720,h264,1.62
44,NeuralTextures/253_183.mp4,FAKE,390,1280,720,h264,1.08
45,FaceShifter/032_944.mp4,FAKE,310,1280,720,h264,1.67
46,Face2Face/862_047.mp4,FAKE,319,1280,720,h264,1.1
47,Face2Face/673_728.mp4,FAKE,568,640,480,h264,1.05
48,NeuralTextures/987_938.mp4,FAKE,369,576,480,h264,0.52
49,DeepFakeDetection/03_26__talking_against_wall__WBSXBL82.mp4,FAKE,910,1920,1080,h264,4.95
50,original/467.mp4,REAL,423,640,480,h264,0.77
51,DeepFakeDetection/01_27__hugging_happy__ZYCZ30C0.mp4,FAKE,596,1920,1080,h264,8.61
52,FaceShifter/396_272.mp4,FAKE,525,1280,720,h264,1.63
53,FaceShifter/809_799.mp4,FAKE,367,656,480,h264,0.86
54,FaceSwap/708_772.mp4,FAKE,341,1920,1080,h264,2.93
55,FaceShifter/366_473.mp4,FAKE,404,656,480,h264,0.85
56,FaceSwap/672_720.mp4,FAKE,541,1280,720,h264,1.82
57,DeepFakeDetection/15_03__talking_angry_couch__T5SHH2UL.mp4,FAKE,1304,1920,1080,h264,13.71
58,Deepfakes/438_434.mp4,FAKE,542,640,480,h264,0.65
59,Deepfakes/022_489.mp4,FAKE,325,1280,720,h264,1.17
60,DeepFakeDetection/14_18__hugging_happy__0YRBHIKG.mp4,FAKE,112,1920,1080,h264,1.94
61,FaceShifter/880_135.mp4,FAKE,435,1920,1080,h264,2.93
62,Deepfakes/074_825.mp4,FAKE,345,1920,1080,h264,2.86
63,FaceShifter/966_988.mp4,FAKE,364,640,480,h264,0.81
64,Face2Face/549_531.mp4,FAKE,319,1280,720,h264,6.91
65,FaceSwap/927_912.mp4,FAKE,647,640,480,h264,0.9
66,DeepFakeDetection/20_15__podium_speech_happy__99NHTFBM.mp4,FAKE,1108,1920,1080,h264,6.25
67,FaceSwap/812_821.mp4,FAKE,423,720,480,h264,1.09
68,FaceSwap/303_309.mp4,FAKE,571,656,480,h264,1.81
69,FaceSwap/938_987.mp4,FAKE,369,640,480,h264,1.02
70,FaceShifter/433_498.mp4,FAKE,532,1280,720,h264,2.42
71,Deepfakes/606_567.mp4,FAKE,387,848,480,h264,0.53
72,FaceShifter/915_895.mp4,FAKE,352,1280,720,h264,1.58
73,original/963.mp4,REAL,692,854,480,h264,1.1
74,original/649.mp4,REAL,930,1280,720,h264,3.54
75,Face2Face/117_217.mp4,FAKE,702,1280,720,h264,4.73
76,Face2Face/440_364.mp4,FAKE,648,640,480,h264,0.81
77,FaceSwap/343_363.mp4,FAKE,299,656,480,h264,0.39
78,Deepfakes/934_918.mp4,FAKE,377,1280,720,h264,1.45
79,Face2Face/199_181.mp4,FAKE,478,1280,720,h264,1.39
80,DeepFakeDetection/02_06__podium_speech_happy__N8OSN8P6.mp4,FAKE,1076,1920,1080,h264,7.95
81,FaceShifter/639_841.mp4,FAKE,662,1280,720,h264,2.15
82,FaceSwap/766_761.mp4,FAKE,343,640,480,h264,0.4
83,original/952.mp4,REAL,700,1280,720,h264,2.7
84,Face2Face/860_905.mp4,FAKE,382,1920,1080,h264,2.2
85,FaceShifter/082_103.mp4,FAKE,316,640,480,h264,0.6
86,NeuralTextures/433_498.mp4,FAKE,317,1280,720,h264,1.47
87,DeepFakeDetection/12_13__walk_down_hall_angry__6G44TDN4.mp4,FAKE,403,1920,1080,h264,2.16
88,original/891.mp4,REAL,296,1280,720,h264,1.18
89,FaceSwap/154_386.mp4,FAKE,449,1280,720,h264,2.15
90,FaceShifter/889_045.mp4,FAKE,329,1920,1080,h264,5.99
91,Deepfakes/412_274.mp4,FAKE,572,1280,720,h264,1.76
92,Deepfakes/732_691.mp4,FAKE,426,600,480,h264,1.04
93,Face2Face/249_280.mp4,FAKE,606,832,480,h264,1.47
94,original/648.mp4,REAL,471,1280,720,h264,1.39
95,Face2Face/781_806.mp4,FAKE,301,640,480,h264,0.54
96,FaceSwap/354_362.mp4,FAKE,455,1280,720,h264,1.92
97,FaceShifter/946_049.mp4,FAKE,462,1280,720,h264,1.53
98,FaceSwap/518_131.mp4,FAKE,295,854,480,h264,0.78
99,FaceShifter/796_740.mp4,FAKE,1001,1280,720,h264,5.44
100,FaceSwap/246_258.mp4,FAKE,496,1280,720,h264,1.94
101,FaceSwap/108_052.mp4,FAKE,300,1440,1080,h264,3.56
102,NeuralTextures/648_654.mp4,FAKE,410,1280,720,h264,1.15
103,Face2Face/273_807.mp4,FAKE,650,1280,720,h264,1.77
104,FaceShifter/392_339.mp4,FAKE,1496,1280,720,h264,7.05
105,NeuralTextures/773_652.mp4,FAKE,456,1280,720,h264,1.31
106,Face2Face/306_278.mp4,FAKE,449,576,480,h264,0.56
107,FaceSwap/559_543.mp4,FAKE,334,1280,720,h264,2.31
108,FaceShifter/624_570.mp4,FAKE,350,854,480,h264,1.26
109,NeuralTextures/814_871.mp4,FAKE,348,1280,720,h264,1.33
110,Deepfakes/740_796.mp4,FAKE,348,1920,1080,h264,1.79
111,NeuralTextures/610_692.mp4,FAKE,354,1280,720,h264,1.63
112,Face2Face/118_120.mp4,FAKE,405,832,480,h264,1.12
113,original/044.mp4,REAL,335,1280,720,h264,1.73
114,Face2Face/684_717.mp4,FAKE,374,1920,1080,h264,3.29
115,NeuralTextures/620_619.mp4,FAKE,305,1920,1080,h264,2.21
116,FaceSwap/367_371.mp4,FAKE,649,640,480,h264,0.99
117,Deepfakes/550_452.mp4,FAKE,444,640,480,h264,0.61
