,File Path,Label,Frame Count,Width,Height,Codec,File Size(MB)
0,Face2Face/000_003.mp4,FAKE,303,640,480,h264,0.64
1,Face2Face/001_870.mp4,FAKE,604,1280,720,h264,3.51
2,Face2Face/002_006.mp4,FAKE,310,1280,720,h264,0.91
3,Face2Face/003_000.mp4,FAKE,396,640,480,h264,0.75
4,Face2Face/004_982.mp4,FAKE,845,1280,720,h264,3.2
5,Face2Face/005_010.mp4,FAKE,474,704,480,h264,1.87
6,Face2Face/006_002.mp4,FAKE,693,1280,720,h264,1.79
7,Face2Face/007_132.mp4,FAKE,413,576,480,h264,0.8
8,Face2Face/008_990.mp4,FAKE,305,640,480,h264,0.49
9,Face2Face/009_027.mp4,FAKE,315,640,480,h264,0.39
10,Face2Face/010_005.mp4,FAKE,385,640,480,h264,1.12
11,Face2Face/011_805.mp4,FAKE,411,1280,720,h264,1.99
12,Face2Face/012_026.mp4,FAKE,322,640,480,h264,0.61
13,Face2Face/013_883.mp4,FAKE,433,640,480,h264,0.73
14,Face2Face/014_790.mp4,FAKE,690,640,480,h264,3.35
15,Face2Face/015_919.mp4,FAKE,534,640,480,h264,1.05
16,Face2Face/016_209.mp4,FAKE,337,640,480,h264,0.79
17,Face2Face/017_803.mp4,FAKE,297,1280,720,h264,1.34
18,Face2Face/018_019.mp4,FAKE,1385,640,480,h264,1.26
19,Face2Face/019_018.mp4,FAKE,432,640,480,h264,0.71
20,Face2Face/020_344.mp4,FAKE,631,1280,720,h264,2.69
21,Face2Face/021_312.mp4,FAKE,428,640,480,h264,0.46
22,Face2Face/022_489.mp4,FAKE,566,1280,720,h264,1.99
23,Face2Face/023_923.mp4,FAKE,602,640,480,h264,1.76
24,Face2Face/024_073.mp4,FAKE,703,640,480,h264,1.14
25,Face2Face/025_067.mp4,FAKE,538,1440,1080,h264,2.4
26,Face2Face/026_012.mp4,FAKE,363,640,480,h264,0.55
27,Face2Face/027_009.mp4,FAKE,588,640,480,h264,1.6
28,Face2Face/028_068.mp4,FAKE,401,832,480,h264,0.75
29,Face2Face/029_048.mp4,FAKE,485,576,480,h264,0.55
30,Face2Face/030_193.mp4,FAKE,372,1920,1080,h264,4.33
31,Face2Face/031_163.mp4,FAKE,304,1280,720,h264,0.96
32,Face2Face/032_944.mp4,FAKE,342,1280,720,h264,1.81
33,Face2Face/033_097.mp4,FAKE,478,832,480,h264,1.13
34,Face2Face/034_590.mp4,FAKE,600,960,720,h264,1.69
35,Face2Face/035_036.mp4,FAKE,337,640,480,h264,0.43
36,Face2Face/036_035.mp4,FAKE,423,640,480,h264,1.13
37,Face2Face/037_072.mp4,FAKE,311,640,480,h264,0.54
38,Face2Face/038_125.mp4,FAKE,500,832,480,h264,0.83
39,Face2Face/039_058.mp4,FAKE,669,640,480,h264,1.09
40,Face2Face/040_997.mp4,FAKE,438,1280,720,h264,2.38
41,Face2Face/041_063.mp4,FAKE,930,640,480,h264,1.76
42,Face2Face/042_084.mp4,FAKE,375,640,480,h264,0.98
43,Face2Face/043_110.mp4,FAKE,565,1280,720,h264,1.76
44,Face2Face/044_945.mp4,FAKE,761,1280,720,h264,3.81
45,Face2Face/045_889.mp4,FAKE,329,1920,1080,h264,4.08
46,Face2Face/046_904.mp4,FAKE,359,1280,720,h264,1.53
47,Face2Face/047_862.mp4,FAKE,470,832,480,h264,0.64
48,Face2Face/048_029.mp4,FAKE,416,640,480,h264,1.02
49,Face2Face/049_946.mp4,FAKE,462,640,480,h264,0.56
50,Face2Face/050_059.mp4,FAKE,721,640,480,h264,0.75
51,Face2Face/051_332.mp4,FAKE,695,1280,720,h264,2.47
52,Face2Face/052_108.mp4,FAKE,300,1920,1080,h264,2.49
53,Face2Face/053_095.mp4,FAKE,1006,640,480,h264,1.48
54,Face2Face/054_071.mp4,FAKE,453,640,480,h264,0.84
55,Face2Face/055_147.mp4,FAKE,667,640,480,h264,0.95
56,Face2Face/056_996.mp4,FAKE,312,1280,720,h264,0.91
57,Face2Face/057_070.mp4,FAKE,367,640,480,h264,1.05
58,Face2Face/058_039.mp4,FAKE,609,704,480,h264,1.03
59,Face2Face/059_050.mp4,FAKE,530,640,480,h264,1.1
60,Face2Face/060_088.mp4,FAKE,665,576,480,h264,3.13
61,Face2Face/061_080.mp4,FAKE,483,640,480,h264,1.0
62,Face2Face/062_066.mp4,FAKE,435,640,480,h264,0.66
63,Face2Face/063_041.mp4,FAKE,349,640,480,h264,0.75
64,Face2Face/064_991.mp4,FAKE,402,640,480,h264,0.84
65,Face2Face/065_089.mp4,FAKE,751,1280,720,h264,5.47
66,Face2Face/066_062.mp4,FAKE,423,704,480,h264,1.48
67,Face2Face/067_025.mp4,FAKE,747,1280,720,h264,2.82
68,Face2Face/068_028.mp4,FAKE,434,640,480,h264,0.78
69,Face2Face/069_961.mp4,FAKE,323,1280,720,h264,1.62
