,File Path,Label,Frame Count,Width,Height,Codec,File Size(MB)
0,FaceShifter/000_003.mp4,FAKE,396,640,480,h264,0.85
1,FaceShifter/001_870.mp4,FAKE,460,1280,720,h264,2.75
2,FaceShifter/002_006.mp4,FAKE,693,1280,720,h264,2.1
3,FaceShifter/003_000.mp4,FAKE,303,640,480,h264,0.57
4,FaceShifter/004_982.mp4,FAKE,309,1280,720,h264,1.21
5,FaceShifter/005_010.mp4,FAKE,385,720,480,h264,1.5
6,FaceShifter/006_002.mp4,FAKE,310,1280,720,h264,0.85
7,FaceShifter/007_132.mp4,FAKE,505,600,480,h264,1.01
8,FaceShifter/008_990.mp4,FAKE,637,640,480,h264,0.97
9,FaceShifter/009_027.mp4,FAKE,588,640,480,h264,0.72
10,FaceShifter/010_005.mp4,FAKE,474,640,480,h264,1.4
11,FaceShifter/011_805.mp4,FAKE,632,1280,720,h264,3.55
12,FaceShifter/012_026.mp4,FAKE,363,640,480,h264,0.67
13,FaceShifter/013_883.mp4,FAKE,332,640,480,h264,0.6
14,FaceShifter/014_790.mp4,FAKE,676,640,480,h264,3.31
15,FaceShifter/015_919.mp4,FAKE,437,640,480,h264,0.83
16,FaceShifter/016_209.mp4,FAKE,678,640,480,h264,1.47
17,FaceShifter/017_803.mp4,FAKE,398,1280,720,h264,1.65
18,FaceShifter/018_019.mp4,FAKE,432,640,480,h264,0.39
19,FaceShifter/019_018.mp4,FAKE,1385,640,480,h264,2.28
20,FaceShifter/020_344.mp4,FAKE,390,1280,720,h264,1.78
21,FaceShifter/021_312.mp4,FAKE,431,654,480,h264,0.48
22,FaceShifter/022_489.mp4,FAKE,325,1280,720,h264,1.17
23,FaceShifter/023_923.mp4,FAKE,553,640,480,h264,1.72
24,FaceShifter/024_073.mp4,FAKE,306,640,480,h264,0.51
25,FaceShifter/025_067.mp4,FAKE,747,1440,1080,h264,3.25
26,FaceShifter/026_012.mp4,FAKE,322,640,480,h264,0.48
27,FaceShifter/027_009.mp4,FAKE,315,640,480,h264,0.85
28,FaceShifter/028_068.mp4,FAKE,434,848,480,h264,0.82
29,FaceShifter/029_048.mp4,FAKE,416,586,480,h264,0.46
30,FaceShifter/030_193.mp4,FAKE,297,1920,1080,h264,3.65
31,FaceShifter/031_163.mp4,FAKE,482,1280,720,h264,1.53
32,FaceShifter/032_944.mp4,FAKE,310,1280,720,h264,1.67
33,FaceShifter/033_097.mp4,FAKE,809,854,480,h264,1.77
34,FaceShifter/034_590.mp4,FAKE,407,960,720,h264,1.18
35,FaceShifter/035_036.mp4,FAKE,423,640,480,h264,0.55
36,FaceShifter/036_035.mp4,FAKE,337,640,480,h264,0.92
37,FaceShifter/037_072.mp4,FAKE,454,656,480,h264,0.74
38,FaceShifter/038_125.mp4,FAKE,305,854,480,h264,0.55
39,FaceShifter/039_058.mp4,FAKE,609,654,480,h264,1.05
40,FaceShifter/040_997.mp4,FAKE,548,1280,720,h264,2.8
41,FaceShifter/041_063.mp4,FAKE,349,656,480,h264,0.67
42,FaceShifter/042_084.mp4,FAKE,338,640,480,h264,1.14
43,FaceShifter/043_110.mp4,FAKE,495,1280,720,h264,1.56
44,FaceShifter/044_945.mp4,FAKE,335,1280,720,h264,1.79
45,FaceShifter/045_889.mp4,FAKE,350,1920,1080,h264,4.74
46,FaceShifter/046_904.mp4,FAKE,504,1280,720,h264,2.21
47,FaceShifter/047_862.mp4,FAKE,319,854,480,h264,0.5
48,FaceShifter/048_029.mp4,FAKE,485,640,480,h264,1.11
49,FaceShifter/049_946.mp4,FAKE,360,640,480,h264,0.45
50,FaceShifter/050_059.mp4,FAKE,530,640,480,h264,0.58
51,FaceShifter/051_332.mp4,FAKE,717,1280,720,h264,2.5
52,FaceShifter/052_108.mp4,FAKE,323,1920,1080,h264,2.99
53,FaceShifter/053_095.mp4,FAKE,417,656,480,h264,0.6
54,FaceShifter/054_071.mp4,FAKE,368,640,480,h264,0.69
55,FaceShifter/055_147.mp4,FAKE,394,640,480,h264,0.56
56,FaceShifter/056_996.mp4,FAKE,373,1280,720,h264,1.11
57,FaceShifter/057_070.mp4,FAKE,431,656,480,h264,1.24
58,FaceShifter/058_039.mp4,FAKE,669,720,480,h264,1.14
59,FaceShifter/059_050.mp4,FAKE,721,640,480,h264,1.49
60,FaceShifter/060_088.mp4,FAKE,844,600,480,h264,4.06
61,FaceShifter/061_080.mp4,FAKE,337,654,480,h264,0.69
62,FaceShifter/062_066.mp4,FAKE,423,640,480,h264,0.64
63,FaceShifter/063_041.mp4,FAKE,930,640,480,h264,2.01
64,FaceShifter/064_991.mp4,FAKE,402,640,480,h264,0.86
65,FaceShifter/065_089.mp4,FAKE,442,1280,720,h264,3.33
66,FaceShifter/066_062.mp4,FAKE,435,720,480,h264,1.49
67,FaceShifter/067_025.mp4,FAKE,538,1280,720,h264,2.09
68,FaceShifter/068_028.mp4,FAKE,401,640,480,h264,0.75
69,FaceShifter/069_961.mp4,FAKE,774,1280,720,h264,4.48
70,FaceShifter/070_057.mp4,FAKE,367,640,480,h264,0.8
71,FaceShifter/071_054.mp4,FAKE,453,654,480,h264,1.32
72,FaceShifter/072_037.mp4,FAKE,311,656,480,h264,0.83
73,FaceShifter/073_024.mp4,FAKE,703,1280,720,h264,2.73
74,FaceShifter/074_825.mp4,FAKE,345,1920,1080,h264,2.84
75,FaceShifter/075_977.mp4,FAKE,613,1280,720,h264,3.12
76,FaceShifter/076_079.mp4,FAKE,329,1280,720,h264,1.26
77,FaceShifter/077_100.mp4,FAKE,611,640,480,h264,0.86
78,FaceShifter/078_955.mp4,FAKE,523,1280,720,h264,2.21
79,FaceShifter/079_076.mp4,FAKE,424,1280,720,h264,1.68
80,FaceShifter/080_061.mp4,FAKE,483,656,480,h264,0.54
81,FaceShifter/081_087.mp4,FAKE,1170,600,480,h264,2.16
82,FaceShifter/082_103.mp4,FAKE,316,640,480,h264,0.6
83,FaceShifter/083_213.mp4,FAKE,545,1920,1080,h264,5.22
84,FaceShifter/084_042.mp4,FAKE,375,1920,1080,h264,4.6
85,FaceShifter/085_124.mp4,FAKE,329,640,480,h264,1.77
86,FaceShifter/086_090.mp4,FAKE,935,1280,720,h264,2.63
87,FaceShifter/087_081.mp4,FAKE,309,640,480,h264,0.37
88,FaceShifter/088_060.mp4,FAKE,665,640,480,h264,2.06
89,FaceShifter/089_065.mp4,FAKE,751,1280,720,h264,3.09
90,FaceShifter/090_086.mp4,FAKE,687,1280,720,h264,4.47
91,FaceShifter/091_116.mp4,FAKE,639,658,480,h264,1.53
92,FaceShifter/092_098.mp4,FAKE,460,720,480,h264,0.95
93,FaceShifter/093_121.mp4,FAKE,308,1280,720,h264,2.3
94,FaceShifter/094_111.mp4,FAKE,559,1280,720,h264,2.45
95,FaceShifter/095_053.mp4,FAKE,1006,640,480,h264,2.07
96,FaceShifter/096_101.mp4,FAKE,504,1920,1080,h264,5.05
97,FaceShifter/097_033.mp4,FAKE,478,640,480,h264,0.97
98,FaceShifter/098_092.mp4,FAKE,299,656,480,h264,0.39
99,FaceShifter/099_295.mp4,FAKE,613,1920,1080,h264,10.12
100,FaceShifter/100_077.mp4,FAKE,423,640,480,h264,0.86
101,FaceShifter/101_096.mp4,FAKE,1148,854,480,h264,2.25
102,FaceShifter/102_114.mp4,FAKE,389,720,480,h264,0.95
103,FaceShifter/103_082.mp4,FAKE,595,656,480,h264,1.7
104,FaceShifter/104_126.mp4,FAKE,462,640,480,h264,1.22
105,FaceShifter/105_180.mp4,FAKE,300,640,480,h264,1.11
106,FaceShifter/106_198.mp4,FAKE,356,854,480,h264,0.47
107,FaceShifter/107_109.mp4,FAKE,556,640,480,h264,1.07
108,FaceShifter/108_052.mp4,FAKE,300,1440,1080,h264,3.7
109,FaceShifter/109_107.mp4,FAKE,298,640,480,h264,0.96
110,FaceShifter/110_043.mp4,FAKE,565,960,720,h264,1.22
111,FaceShifter/111_094.mp4,FAKE,433,640,480,h264,0.87
112,FaceShifter/112_892.mp4,FAKE,418,1920,1080,h264,6.06
113,FaceShifter/113_983.mp4,FAKE,841,1280,720,h264,4.05
114,FaceShifter/114_102.mp4,FAKE,1269,640,480,h264,2.53
115,FaceShifter/115_939.mp4,FAKE,320,1280,720,h264,1.3
116,FaceShifter/116_091.mp4,FAKE,327,640,480,h264,0.64
117,FaceShifter/117_217.mp4,FAKE,548,1280,720,h264,3.86
118,FaceShifter/118_120.mp4,FAKE,352,852,480,h264,0.94
119,FaceShifter/119_123.mp4,FAKE,502,640,480,h264,0.8
120,FaceShifter/120_118.mp4,FAKE,405,640,480,h264,1.05
121,FaceShifter/121_093.mp4,FAKE,553,1920,1080,h264,4.3
122,FaceShifter/122_144.mp4,FAKE,309,1264,720,h264,1.68
123,FaceShifter/123_119.mp4,FAKE,514,640,480,h264,1.13
124,FaceShifter/124_085.mp4,FAKE,318,600,480,h264,0.67
125,FaceShifter/125_038.mp4,FAKE,500,1280,720,h264,2.33
126,FaceShifter/126_104.mp4,FAKE,328,640,480,h264,0.67
127,FaceShifter/127_129.mp4,FAKE,864,1280,720,h264,2.94
128,FaceShifter/128_896.mp4,FAKE,735,640,480,h264,1.23
129,FaceShifter/129_127.mp4,FAKE,330,1280,720,h264,1.65
130,FaceShifter/130_139.mp4,FAKE,662,656,480,h264,2.13
131,FaceShifter/131_518.mp4,FAKE,306,600,480,h264,0.54
132,FaceShifter/132_007.mp4,FAKE,413,640,480,h264,0.38
133,FaceShifter/133_148.mp4,FAKE,767,720,480,h264,1.07
