,File Path,Label,Frame Count,Width,Height,Codec,File Size(MB)
0,NeuralTextures/000_003.mp4,FAKE,303,640,480,h264,0.62
1,NeuralTextures/001_870.mp4,FAKE,460,1280,720,h264,2.71
2,NeuralTextures/002_006.mp4,FAKE,310,1280,720,h264,0.91
3,NeuralTextures/003_000.mp4,FAKE,303,640,480,h264,0.57
4,NeuralTextures/004_982.mp4,FAKE,309,1280,720,h264,1.19
5,NeuralTextures/005_010.mp4,FAKE,385,704,480,h264,1.49
6,NeuralTextures/006_002.mp4,FAKE,310,1280,720,h264,0.8
7,NeuralTextures/007_132.mp4,FAKE,413,576,480,h264,0.79
8,NeuralTextures/008_990.mp4,FAKE,305,640,480,h264,0.48
9,NeuralTextures/009_027.mp4,FAKE,315,640,480,h264,0.38
10,NeuralTextures/010_005.mp4,FAKE,385,640,480,h264,1.09
11,NeuralTextures/011_805.mp4,FAKE,411,1280,720,h264,1.9
12,NeuralTextures/012_026.mp4,FAKE,322,640,480,h264,0.6
13,NeuralTextures/013_883.mp4,FAKE,332,640,480,h264,0.57
14,NeuralTextures/014_790.mp4,FAKE,676,640,480,h264,3.27
15,NeuralTextures/015_919.mp4,FAKE,437,640,480,h264,0.82
16,NeuralTextures/016_209.mp4,FAKE,337,640,480,h264,0.79
17,NeuralTextures/017_803.mp4,FAKE,297,1280,720,h264,1.31
18,NeuralTextures/018_019.mp4,FAKE,432,640,480,h264,0.37
19,NeuralTextures/019_018.mp4,FAKE,432,640,480,h264,0.69
20,NeuralTextures/020_344.mp4,FAKE,390,1280,720,h264,1.62
21,NeuralTextures/021_312.mp4,FAKE,428,640,480,h264,0.46
22,NeuralTextures/022_489.mp4,FAKE,325,1280,720,h264,1.16
23,NeuralTextures/023_923.mp4,FAKE,553,640,480,h264,1.61
24,NeuralTextures/024_073.mp4,FAKE,306,640,480,h264,0.47
25,NeuralTextures/025_067.mp4,FAKE,538,1440,1080,h264,2.38
26,NeuralTextures/026_012.mp4,FAKE,322,640,480,h264,0.48
27,NeuralTextures/027_009.mp4,FAKE,315,640,480,h264,0.81
28,NeuralTextures/028_068.mp4,FAKE,401,832,480,h264,0.73
29,NeuralTextures/029_048.mp4,FAKE,416,576,480,h264,0.46
30,NeuralTextures/030_193.mp4,FAKE,297,1920,1080,h264,3.22
31,NeuralTextures/031_163.mp4,FAKE,304,1280,720,h264,0.94
32,NeuralTextures/032_944.mp4,FAKE,310,1280,720,h264,1.53
33,NeuralTextures/033_097.mp4,FAKE,478,832,480,h264,1.11
34,NeuralTextures/034_590.mp4,FAKE,407,960,720,h264,1.09
35,NeuralTextures/035_036.mp4,FAKE,337,640,480,h264,0.42
36,NeuralTextures/036_035.mp4,FAKE,337,640,480,h264,0.91
37,NeuralTextures/037_072.mp4,FAKE,311,640,480,h264,0.53
38,NeuralTextures/038_125.mp4,FAKE,305,832,480,h264,0.49
39,NeuralTextures/039_058.mp4,FAKE,609,640,480,h264,1.01
40,NeuralTextures/040_997.mp4,FAKE,438,1280,720,h264,2.35
41,NeuralTextures/041_063.mp4,FAKE,349,640,480,h264,0.65
42,NeuralTextures/042_084.mp4,FAKE,338,640,480,h264,0.83
43,NeuralTextures/043_110.mp4,FAKE,495,1280,720,h264,1.5
44,NeuralTextures/044_945.mp4,FAKE,335,1280,720,h264,1.64
45,NeuralTextures/045_889.mp4,FAKE,329,1920,1080,h264,3.65
46,NeuralTextures/046_904.mp4,FAKE,359,1280,720,h264,1.46
47,NeuralTextures/047_862.mp4,FAKE,319,832,480,h264,0.49
48,NeuralTextures/048_029.mp4,FAKE,416,640,480,h264,1.0
49,NeuralTextures/049_946.mp4,FAKE,360,640,480,h264,0.41
50,NeuralTextures/050_059.mp4,FAKE,530,640,480,h264,0.55
51,NeuralTextures/051_332.mp4,FAKE,695,1280,720,h264,2.39
52,NeuralTextures/052_108.mp4,FAKE,300,1920,1080,h264,2.3
53,NeuralTextures/053_095.mp4,FAKE,417,640,480,h264,0.6
54,NeuralTextures/054_071.mp4,FAKE,368,640,480,h264,0.67
55,NeuralTextures/055_147.mp4,FAKE,394,640,480,h264,0.53
56,NeuralTextures/056_996.mp4,FAKE,312,1280,720,h264,0.89
57,NeuralTextures/057_070.mp4,FAKE,367,640,480,h264,1.04
58,NeuralTextures/058_039.mp4,FAKE,609,704,480,h264,0.99
59,NeuralTextures/059_050.mp4,FAKE,530,640,480,h264,1.06
60,NeuralTextures/060_088.mp4,FAKE,665,576,480,h264,3.08
61,NeuralTextures/061_080.mp4,FAKE,337,640,480,h264,0.69
62,NeuralTextures/062_066.mp4,FAKE,423,640,480,h264,0.63
63,NeuralTextures/063_041.mp4,FAKE,349,640,480,h264,0.73
64,NeuralTextures/064_991.mp4,FAKE,402,640,480,h264,0.81
65,NeuralTextures/065_089.mp4,FAKE,442,1280,720,h264,3.17
66,NeuralTextures/066_062.mp4,FAKE,423,704,480,h264,1.46
67,NeuralTextures/067_025.mp4,FAKE,538,1280,720,h264,1.98
68,NeuralTextures/068_028.mp4,FAKE,401,640,480,h264,0.7
69,NeuralTextures/069_961.mp4,FAKE,323,1280,720,h264,1.53
