,File Path,Label,Frame Count,Width,Height,Codec,File Size(MB)
0,original/000.mp4,REAL,396,640,480,h264,0.85
1,original/001.mp4,REAL,460,1280,720,h264,2.78
2,original/002.mp4,REAL,693,1280,720,h264,2.02
3,original/003.mp4,REAL,303,640,480,h264,0.58
4,original/004.mp4,REAL,309,1280,720,h264,1.2
5,original/005.mp4,REAL,385,720,480,h264,1.51
6,original/006.mp4,REAL,310,1280,720,h264,0.82
7,original/007.mp4,REAL,505,600,480,h264,1.02
8,original/008.mp4,REAL,637,640,480,h264,0.99
9,original/009.mp4,REAL,588,640,480,h264,0.74
10,original/010.mp4,REAL,474,640,480,h264,1.42
11,original/011.mp4,REAL,632,1280,720,h264,3.23
12,original/012.mp4,REAL,363,640,480,h264,0.69
13,original/013.mp4,REAL,332,640,480,h264,0.59
14,original/014.mp4,REAL,676,640,480,h264,3.3
15,original/015.mp4,REAL,437,640,480,h264,0.83
16,original/016.mp4,REAL,678,640,480,h264,1.48
17,original/017.mp4,REAL,398,1280,720,h264,1.64
18,original/018.mp4,REAL,432,640,480,h264,0.4
19,original/019.mp4,REAL,1385,640,480,h264,2.36
20,original/020.mp4,REAL,390,1280,720,h264,1.71
21,original/021.mp4,REAL,431,654,480,h264,0.49
22,original/022.mp4,REAL,325,1280,720,h264,1.17
23,original/023.mp4,REAL,553,640,480,h264,1.74
24,original/024.mp4,REAL,306,640,480,h264,0.52
25,original/025.mp4,REAL,747,1440,1080,h264,3.26
26,original/026.mp4,REAL,322,640,480,h264,0.5
27,original/027.mp4,REAL,315,640,480,h264,0.85
28,original/028.mp4,REAL,434,848,480,h264,0.82
29,original/029.mp4,REAL,416,586,480,h264,0.48
30,original/030.mp4,REAL,297,1920,1080,h264,3.44
31,original/031.mp4,REAL,482,1280,720,h264,1.52
32,original/032.mp4,REAL,310,1280,720,h264,1.62
33,original/033.mp4,REAL,809,854,480,h264,1.78
34,original/034.mp4,REAL,407,960,720,h264,1.17
35,original/035.mp4,REAL,423,640,480,h264,0.56
36,original/036.mp4,REAL,337,640,480,h264,0.92
37,original/037.mp4,REAL,454,656,480,h264,0.76
38,original/038.mp4,REAL,305,854,480,h264,0.54
39,original/039.mp4,REAL,609,654,480,h264,1.04
40,original/040.mp4,REAL,548,1280,720,h264,2.79
41,original/041.mp4,REAL,349,656,480,h264,0.66
42,original/042.mp4,REAL,338,640,480,h264,1.12
43,original/043.mp4,REAL,495,1280,720,h264,1.54
44,original/044.mp4,REAL,335,1280,720,h264,1.73
45,original/045.mp4,REAL,350,1920,1080,h264,4.54
46,original/046.mp4,REAL,504,1280,720,h264,2.17
47,original/047.mp4,REAL,319,854,480,h264,0.5
48,original/048.mp4,REAL,485,640,480,h264,1.16
49,original/049.mp4,REAL,360,640,480,h264,0.44
50,original/050.mp4,REAL,530,640,480,h264,0.58
51,original/051.mp4,REAL,717,1280,720,h264,2.57
52,original/052.mp4,REAL,323,1920,1080,h264,2.65
53,original/053.mp4,REAL,417,656,480,h264,0.61
54,original/054.mp4,REAL,368,640,480,h264,0.71
55,original/055.mp4,REAL,394,640,480,h264,0.57
56,original/056.mp4,REAL,373,1280,720,h264,1.08
57,original/057.mp4,REAL,431,656,480,h264,1.26
58,original/058.mp4,REAL,669,720,480,h264,1.15
59,original/059.mp4,REAL,721,640,480,h264,1.49
